Index,Annual Event #,Metric Interval Event #,Start,Finish,Component Type,Object Name,Inducing Object,Protective Device,Desired Fault type,Fault Type,Number customers affected,Secondary number of customers affected,Location,Meters Affected,Cause
45,46,46,2000-01-15 01:08:00,2000-01-15 01:10:00,overhead_line,19731,RandEvent,F8245,TLG,SLG-A,5,0,-102.762426167 32.9924630913,node62462229732T62462229741 node62463186718T62463186742 node62463021167T62463021200 node62474204748T62474204749 node62474182499T62474182459,squirrel
46,47,47,2000-01-15 16:29:00,2000-01-15 16:31:00,overhead_line,16882,RandEvent,F7508,TLG,SLG-A,16,0,-102.757803174 32.988298189,node62463019285T62463019253 node62463193561T62463193504 node62474206706T62474206724 node62463190694T62463190598 node62463019498T62463019467 node62474211556T62474211583 node62474203871T62474203769 node62463013691T62463013576 node62462235664T62462235631 node62474207119T62474207223 node62463074975T62463014050 node62474208819T62474208904 node62462157141T62462156117 node62473239131T62473239069 node62462170679T62462170743 node62463013707T62463013737,squirrel
47,48,48,2000-01-16 11:19:00,2000-01-16 11:21:00,overhead_line,19342,RandEvent,F7508,TLG,SLG-B,9,0,-102.76344895 32.9918953458,node62463079175T62463079127 node62463016900T62463016837 node62474195151T62474196103 node62463123162T62463123126 node62474215045T62474214083 node62462231529T62462231545 node62474205692T62474206624 node62462169487T62462169469 node62463026977T62463026955,squirrel
48,49,49,2000-01-16 17:44:00,2000-01-16 17:46:00,overhead_line,19387,RandEvent,F7515,TLG,SLG-C,1,0,-102.760477548 32.9919248236,node62463022720T62463022676,squirrel
49,50,50,2000-01-16 23:29:00,2000-01-16 23:31:00,overhead_line,19733,RandEvent,F6171,TLG,TLG,17,0,-102.760708336 32.992635088,node62474212387T62474212358 node62473239194T62474180122 node62463190694T62463190598 node62462226475T62462227457 node62462172377T62462172490 node62474212215T62474212237 node62474202258T62474202360 node62474208819T62474208904 node62463072245T62463072330 node62463018503T62463017479 node62474204023T62474203073 node62463019498T62463019467 node62463074798T62463074775 node62474204990T62474204859 node62462169230T62462169245 node62462174083T62462174081 node62474207119T62474207223,squirrel
50,51,51,2000-01-17 02:11:00,2000-01-17 02:13:00,overhead_line,20172,RandEvent,F7508,TLG,DLG-BC,14,0,-102.764342926 32.99354583,node62462221928T62462221998 node62462222990T62462222900 node62474207489T62474207437 node62474207119T62474207223 node62474205893T62474206824 node62462161131T62462161089 node62474182051T62463002948 node62463026977T62463026955 node62474182499T62474182459 node62474215045T62474214083 node62474180317T62474180356 node62463017349T62463017451 node62474208819T62474208904 node62462219940T62462219856,squirrel
51,52,52,2000-01-17 03:23:00,2000-01-17 03:25:00,overhead_line,20788,RandEvent,F6171,TLG,TLG,17,0,-102.764437401 32.9949385212,node62462168493T62462169442 node62474206706T62474206724 node62462161131T62462161089 node62463186691T62463186577 node62474205893T62474206824 node62463001766T62463001769 node62463019437T62463019414 node62474204371T62474204354 node62462169230T62462169245 node62463027895T62463028953 node62462232691T62462232564 node62462229510T62462229436 node62463074798T62463074775 node62463078953T62463078922 node62462166430T62462166454 node62474195151T62474196103 node62463190694T62463190598,squirrel
52,53,53,2000-01-17 13:50:00,2000-01-17 13:52:00,overhead_line,19511,RandEvent,F7167,TLG,TLG,24,0,-102.760734241 32.9924254282,node62463027895T62463028953 node62463001804T62463001814 node62463073088T62463074161 node62463016900T62463016837 node62474207119T62474207223 node62463025237T62463024257 node62463075194T62463075133 node62474203981T62474203987 node62463018503T62463017479 node62462178343T62462178321 node62474211335T62474211356 node62474202953T62474202989 node62474204023T62474203073 node62474181335T62474180389 node62474182499T62474182459 node62474195011T62474196023 node62462235664T62462235631 node62463000855T62463000829 node62463026977T62463026955 node62463190800T62463189781 node62463021692T62463021663 node62473239194T62474180122 node62474203871T62474203769 node62462225428T62462224580,squirrel
53,54,54,2000-01-17 19:08:00,2000-01-17 19:10:00,overhead_line,15809,RandEvent,F7508,TLG,TLG,30,0,-102.760633398 32.9867086746,node62473239194T62474180122 node62462172377T62462172490 node62463132482T62463132499 node62462057655T62462057695 node62462226475T62462227457 node62462227630T62462227535 node62462057439T62462057478 node62463020936T62463020868 node62462058744T62462058764 node62463193561T62463193504 node62474206893T62474207830 node62463001627T62463000688 node62463013691T62463013576 node62462231529T62462231545 node62474204552T62474204575 node62463016900T62463016837 node62463074197T62463074165 node62463016251T62463016201 node62462110050T62462110060 node62463019285T62463019253 node62463020586T62463020670 node62463189387T62463189482 node62462221747T62462222618 node62462232961T62462233819 node62463130850T62463130794 node62474195151T62474196103 node62474213353T62474213347 node62462232691T62462232564 node62463019058T62463019150 node62462058915T62462058961,squirrel
54,55,55,2000-01-18 10:39:00,2000-01-18 10:41:00,overhead_line,16557,RandEvent,F7508,TLG,DLG-BC,14,0,-102.759314002 32.9890935062,node62474181058T62474181036 node62463079175T62463079127 node62463075194T62463075133 node62474202555T62474202581 node62462231414T62462230473 node62462168810T62462168870 node62463186718T62463186742 node62474202650T62474202681 node62462237962T62462237964 node62463130850T62463130794 node62463022298T62463022289 node62463002869T62463003904 node62474196319T62474196353 node62463017349T62463017451,squirrel
55,56,56,2000-01-18 19:57:00,2000-01-18 19:59:00,overhead_line,20509,RandEvent,R1201,TLG,TLG,32,0,-102.764211214 32.9940308058,node62474182051T62463002948 node62463123162T62463123126 node62474144036T62474204979 node62473239194T62474180122 node62463190694T62463190598 node62462227630T62462227535 node62462059675T62463000610 node62463016251T62463016201 node62462237962T62462237964 node62474202046T62463022999 node62462101209T62462101267 node62463017349T62463017451 node62474208243T62474208138 node62474181058T62474181036 node62463020586T62463020670 node62463133009T62463132037 node62463019498T62463019467 node62463075332T62463075357 node62463188749T62463188832 node62462057439T62462057478 node62463019285T62463019253 node62463121169T62463121197 node62462163909T62462162948 node62474195011T62474196023 node62474204023T62474203073 node62463132895T62463133818 node62474206706T62474206724 node62462100389T62462101338 node62474213353T62474213347 node62463018228T62463018249 node62463017062T62463017045 node62462232961T62462233819,squirrel
56,57,57,2000-01-18 22:18:00,2000-01-18 22:20:00,overhead_line,17886,RandEvent,F7508,TLG,SLG-A,16,0,-102.75913803 32.9905345696,node62474144036T62474204979 node62462169230T62462169245 node62462239978T62463120010 node62462236984T62462236981 node62463030909T62474210056 node62463134548T62463134578 node62473239194T62474180122 node62463012543T62463012540 node62462172377T62462172490 node62463190800T62463189781 node62474205893T62474206824 node62463019768T62463020860 node62463132482T62463132499 node62473238040T62473238073 node62474203443T62474203356 node62474207056T62474207085,squirrel
57,58,58,2000-01-19 02:16:00,2000-01-19 02:17:00,overhead_line,19848,RandEvent,F7508,TLG,TLG,30,0,-102.763257806 32.9927007738,node62463132895T62463133818 node62474146040T62474206947 node62474196191T62474197105 node62473238255T62473238283 node62462222990T62462222900 node62474202555T62474202581 node62463016900T62463016837 node62463130850T62463130794 node62474204552T62474204575 node62463018228T62463018249 node62463021167T62463021200 node62463016405T62463015557 node62463016251T62463016201 node62473239194T62474180122 node62463021455T62463021550 node62474208243T62474208138 node62463132482T62463132499 node62463013691T62463013576 node62463024844T62463025910 node62463017062T62463017045 node62463073088T62463074161 node62463186398T62463185453 node62463124065T62463124087 node62462058915T62462058961 node62463026977T62463026955 node62463133761T62463133761 node62463079175T62463079127 node62474208819T62474208904 node62462226602T62462226538 node62474203443T62474203356,squirrel
58,59,59,2000-01-19 12:21:00,2000-01-19 12:23:00,overhead_line,15820,RandEvent,R1201,TLG,TLG,32,0,-102.758805568 32.9868031479,node62474182629T62474182678 node62462232961T62462233819 node62463139865T62463139950 node62463025237T62463024257 node62462174083T62462174081 node62463189387T62463189482 node62462239978T62463120010 node62474203981T62474203987 node62462235664T62462235631 node62462057863T62462058873 node62462057655T62462057695 node62462168810T62462168870 node62463186398T62463185453 node62474181623T62474181695 node62463018503T62463017479 node62463001627T62463000688 node62462169487T62462169469 node62474204371T62474204354 node62462227630T62462227535 node62462169230T62462169245 node62463129089T62463129146 node62463193561T62463193504 node62463001766T62463001769 node62462226602T62462226538 node62463076992T62463076899 node62463021692T62463021663 node62463013707T62463013737 node62474206893T62474207830 node62463016539T62463016634 node62474207489T62474207437 node62474202454T62474202471 node62462058558T62462057585,squirrel
59,60,60,2000-01-20 02:29:00,2000-01-20 02:31:00,overhead_line,19041,RandEvent,F5187,TLG,SLG-A,15,0,-102.759229455 32.991675455,node62474206706T62474206724 node62462221928T62462221998 node62463124065T62463124087 node62462058915T62462058961 node62463026977T62463026955 node62474204552T62474204575 node62462238928T62462237996 node62462169230T62462169245 node62462223811T62462223734 node62463186718T62463186742 node62474204748T62474204749 node62463021692T62463021663 node62462239978T62463120010 node62463133009T62463132037 node62474203572T62474203566,squirrel
60,61,61,2000-01-20 07:51:00,2000-01-20 07:53:00,overhead_line,19196,RandEvent,F6171,TLG,TLG,17,0,-102.761911994 32.9921908629,node62462058558T62462057585 node62474204023T62474203073 node62474211060T62463031930 node62474203443T62474203356 node62462232691T62462232564 node62462221747T62462222618 node62474202046T62463022999 node62463017349T62463017451 node62463019285T62463019253 node62474196191T62474197105 node62474202354T62474202362 node62463022720T62463022676 node62463020586T62463020670 node62463132202T62463131250 node62474202555T62474202581 node62462161131T62462161089 node62474181335T62474180389,squirrel
61,62,62,2000-01-20 07:54:00,2000-01-20 07:56:00,overhead_line,68064,RandEvent,F5552,TLG,TLG,1,0,-102.75932902 32.9889631252,node62474205151T62474205022,squirrel
62,63,63,2000-01-20 09:02:00,2000-01-20 09:04:00,overhead_line,17290,RandEvent,F6171,TLG,SLG-B,6,0,-102.758212555 32.9888925546,node62474180317T62474180356 node62462229732T62462229741 node62474181379T62474181443 node62463018993T62463018961 node62463132482T62463132499 node62462232961T62462233819,squirrel
63,64,64,2000-01-20 13:04:00,2000-01-20 13:06:00,overhead_line,17380,RandEvent,F7508,TLG,DLG-BC,14,0,-102.758580303 32.9890917863,node62462226602T62462226538 node62463018228T62463018249 node62463013707T62463013737 node62462110050T62462110060 node62473239131T62473239069 node62462219692T62462220516 node62462239978T62463120010 node62463190800T62463189781 node62462223811T62462223734 node62474207056T62474207085 node62474197221T62474197215 node62474202258T62474202360 node62462219940T62462219856 node62473238040T62473238073,squirrel
64,65,65,2000-01-21 05:11:00,2000-01-21 05:13:00,overhead_line,17380,RandEvent,F7508,TLG,SLG-A,16,0,-102.758580303 32.9890917863,node62462059542T62463000511 node62463021692T62463021663 node62463016251T62463016201 node62463075194T62463075133 node62474204552T62474204575 node62474204748T62474204749 node62462226475T62462227457 node62462174083T62462174081 node62462225969T62462166024 node62462058744T62462058764 node62473239194T62474180122 node62462057863T62462058873 node62462173273T62462173272 node62474202147T62474202166 node62462231529T62462231545 node62463072245T62463072330,squirrel
65,66,66,2000-01-21 08:43:00,2000-01-21 08:45:00,overhead_line,19589,RandEvent,F6171,TLG,TLG,17,0,-102.762294897 32.9924070778,node62463030909T62474210056 node62474180317T62474180356 node62474181058T62474181036 node62463019768T62463020860 node62463024844T62463025910 node62474202258T62474202360 node62463075332T62463075357 node62474212215T62474212237 node62463001804T62463001814 node62462219940T62462219856 node62463188749T62463188832 node62463075194T62463075133 node62463186691T62463186577 node62463134548T62463134578 node62462169487T62462169469 node62463028401T62463028430 node62474204748T62474204749,squirrel
66,67,67,2000-01-21 17:51:00,2000-01-21 17:53:00,overhead_line,19559,RandEvent,F7508,TLG,TLG,30,0,-102.764509746 32.9923405217,node62463189387T62463189482 node62463139865T62463139950 node62463193561T62463193504 node62474207930T62474207936 node62463078953T62463078922 node62462169487T62462169469 node62474206706T62474206724 node62463020936T62463020868 node62474201080T62463022938 node62463079175T62463079127 node62463188749T62463188832 node62462221747T62462222618 node62463016038T62463016077 node62463016405T62463015557 node62474209432T62474209464 node62462238928T62462237996 node62474202147T62474202166 node62473239194T62474180122 node62474207489T62474207437 node62462059308T62462058491 node62473239131T62473239069 node62462229510T62462229436 node62474182499T62474182459 node62462100389T62462101338 node62462219692T62462220516 node62463000855T62463000829 node62474203443T62474203356 node62463021455T62463021550 node62474203871T62474203769 node62474211060T62463031930,squirrel
